id,myTime,myFramerate,myResolution,shaderTitle,shaderStatsLikes,shaderAuthorName,shaderAuthorDate,shaderStatsViewed,shaderDescription,shaderStatsComments
0,0.00,00.0 fps,420 x 236,Raymarching - Primitives,1430,iq,2013-03-25,764821,A set of raw primitives. All except the ellipsoid are exact euclidean distances. More info here: https://iquilezles.org/articles/distfunctions,150
1,2.00,59.9 fps,420 x 236,Seascape,2590,TDM,2014-09-26,644976,"fully-procedural sea surface computing. without textures.

Android version: https://play.google.com/store/apps/details?id=com.nature.seascape
Insta: https://www.instagram.com/seascapebenchmark/	",185
2,0.58,60.4 fps,420 x 236,Creation by Silexars,1170,Danguafer,2014-04-29,535291,My first demoscene release. Achieved second place @ DemoJS 2011. It has been said to be the first 1k WebGL intro ever released.,80
3,1.29,60.0 fps,420 x 236,Lover 2,249,FabriceNeyret2,2022-02-07,378654,"Fork of ""Lover"" by wyatt. https://shadertoy.com/view/fsjyR3  
trying to mimic Karthik Dondeti https://twitter.com/d0ndeti/status/1479814051366539264 series.

- A:use close curve, starting as circle. k partics
- I: basic drawing
still, there are crossings.",51
4,1.39,60.1 fps,420 x 236,Mystify Screensaver,76,Qendolin,2018-03-16,326486,"This is supposed to be a clone of the Windows ""Mystify"" screensaver. I guess I got close but you can definitely tell that it's not as good as the original.

Music: https://soundcloud.com/3kliksphilip/under-the-pizza

",8
5,1.20,60.1 fps,420 x 236,Cyber Fuji 2020,297,kaiware007,2020-01-28,291964,A Happy New Yeahhhhhhhhhhhhhhhhhh!!!!!!!!!!!!!,14
6,0.54,61.5 fps,420 x 236,Clouds,1884,iq,2013-02-25,287999,"Raymarching some fbm (you can move the mouse around). This is my first shader in the ""one shader a week for a year"" challenge that I have committed to. Some related info: https://iquilezles.org/articles/derivative",101
7,0.41,1.5 fps,420 x 236,Ray Marching: Part 6,144,jlfwong,2016-07-15,285225,Part 6 of a ray marching tutorial http://jamie-wong.com/2016/07/15/ray-marching-signed-distance-functions/,3
8,0.00,00.0 fps,420 x 236,Rainforest,1200,iq,2016-12-22,267215,"Another terrain, with cheap trees made of ellipsoids and noise. It computes analytic normals for the terrain and clouds. The art composed to camera as usual. Making-of Tutorial: https://www.youtube.com/watch?v=BFld4EBO2RE",139
9,1.61,60.0 fps,420 x 236,Ray Marching: Part 1,222,jlfwong,2016-07-12,233213,Part 1 of a ray marching tutorial http://jamie-wong.com/2016/07/15/ray-marching-signed-distance-functions/,25
10,0.45,1.6 fps,420 x 236,Octagrams,262,whisky_shusuky,2020-01-28,233500,"Inspired by arabesque.
https://cineshader.com/editor",4
11,2.56,60.0 fps,420 x 236,Ray Marching: Part 2,139,jlfwong,2016-07-13,221970,Part 2 of a ray marching tutorial http://jamie-wong.com/2016/07/15/ray-marching-signed-distance-functions/,13
12,2.31,60.1 fps,420 x 236,Ray Marching: Part 3,80,jlfwong,2016-07-13,218922,Part 3 of a ray marching tutorial http://jamie-wong.com/2016/07/15/ray-marching-signed-distance-functions/,6
13,1.57,59.9 fps,420 x 236,fractal pyramid,424,bradjamesgrant,2020-05-03,217540,Creating multiple shapes with one SDF evaluation by repeatedly rotating and folding space,11
14,2.47,60.1 fps,420 x 236,Oblivion radar,317,ndel,2014-11-14,212955,A simple sci-fi radar.,10
15,2.11,60.0 fps,420 x 236,Ray Marching: Part 4,28,jlfwong,2016-07-14,212490,Part 4 of a ray marching tutorial http://jamie-wong.com/2016/07/15/ray-marching-signed-distance-functions/,0
16,2.43,60.1 fps,420 x 236,Ray Marching: Part 5,29,jlfwong,2016-07-14,211086,Part 5 of a ray marching tutorial http://jamie-wong.com/2016/07/15/ray-marching-signed-distance-functions/,0
17,1.54,59.8 fps,420 x 236,Elevated,919,iq,2013-02-10,211087,A raymarched version of the demo Elevated from 2009.,41
18,2.60,60.1 fps,420 x 236,CineShader Lava,273,edankwan,2019-11-21,204605,Simple ray marching template. View this shader at https://cineshader.com/view/3sySRK,6
19,2.39,60.1 fps,420 x 236,mandelbulb_,220,EvilRyu,2014-05-03,199423,a mandelbulb,7
20,2.38,60.1 fps,420 x 236,Base warp fBM,215,trinketMage,2019-10-10,196520,"Base for warp fBM (Fractional Brownian Motion) implemented from articles from @iq https://iquilezles.org/articles/warp/warp.htm
With transform_rose colormap from colormap-shaders",1
21,0.01,0.4 fps,420 x 236,Snail,813,iq,2015-12-24,192372,Procedural modeling and procedural lighting. Shading is a mix of procedural and textures. SDF rendered through raymarching. Info: https://iquilezles.org/articles/raymarchingdf/,80
22,1.23,60.0 fps,420 x 236,Phantom Star for CineShader,321,kasari39,2020-01-28,190559,https://cineshader.com/view/ttKGDt,7
23,1.72,60.1 fps,420 x 236,GLSL ray tracing test,69,colin299,2019-09-07,188272,"you can drag left/right to control roughness
open using CineShader: https://cineshader.com/view/3sc3z4",4
24,1.99,60.1 fps,420 x 236,fractal trees gif,166,macbooktall,2017-11-15,187583,"the idea is to rotate the fractal based on distance from the camera.
i used it to make this gif https://media.giphy.com/media/l2QE1mlTRVy7Y7Hfa/giphy.gif",9
25,1.03,60.0 fps,420 x 236,Cloud raymarching,120,edo_m18,2019-02-10,186603,"Cloud raymarching sample. This is cloned from https://www.shadertoy.com/view/lss3zr

I also post an article of detail of this post.
https://qiita.com/edo_m18/items/cbba0cc4e33a5aa3be55",3
26,2.09,60.0 fps,420 x 236,DVD Bounce,150,tdhooper,2020-01-31,184371,Something for https://cineshader.com/view/wtcSzN,11
27,2.09,60.2 fps,420 x 236,Volcanic,697,iq,2013-07-03,183129,"An alien volcanic landscape. It started as an experiment on 2d-texture based 3d noise. But then I played with the noise shape, the added some shading, put lighting in it, etc..., until I got this.",47
28,0.50,1.2 fps,420 x 236,Dive to Cloud,56,lise,2016-12-18,181292,"cloud

referred https://www.shadertoy.com/view/4sXGRM",2
29,1.62,60.1 fps,420 x 236,Whoa my kinda beams,54,Carandiru,2018-09-14,178882,"raymarching edit fun
https://cineshader.com/view/XtVczV",1
30,1.32,60.0 fps,420 x 236,Raymarching Basic,101,gyabo,2015-09-14,178788,basic,5
31,0.77,57.4 fps,420 x 236,w10,50,gyabo,2015-07-29,178421,"Windows10 wallpapar wip.

OMG
https://www.youtube.com/watch?t=128&v=hL8BBOwupcI


https://www.youtube.com/watch?t=128&v=hL8BBOwupcI

omg.",2
32,2.58,60.0 fps,420 x 236,Parallax view on Cineshader,24,edankwan,2020-01-30,176002,It uses the iCamPos for parallax view but it cause issues on the reflection. Still fun to mess with it though. https://cineshader.com/view/wtdSR8,0
33,2.59,60.0 fps,420 x 236,70s Melt,78,tomorrowevening,2013-08-12,174685,"THE COLORS MAN, THE COLORS.

Inspired by @WAHa_06x36's sine puke",5
34,2.04,60.1 fps,420 x 236,FWA logo,22,edankwan,2020-02-04,174945,Trace the FWA logo with capsule sdf. View this shader at https://cineshader.com/view/tt3XDn,2
35,0.00,00.0 fps,420 x 236,ED-209,174,dean_the_coder,2020-10-29,172995,"""PLEASE NORMALIZE YOUR VECTORS. YOU HAVE 20 SECONDS TO COMPLY...""

I've always loved the (original) Robocop movie, but have never felt confident enough to try modelling ED-209.
I hope you like it!",23
